# B_mT	Ic_mA	Fit_mA
-2.358914e+00 1.000000e-02 4.769166e-04
-2.159569e+00 1.100000e-02 6.935091e-03
-2.059897e+00 1.500000e-02 9.988908e-03
-1.960224e+00 1.800000e-02 1.262570e-02
-1.860552e+00 2.100000e-02 1.462283e-02
-1.727655e+00 2.400000e-02 1.593940e-02
-1.661207e+00 2.500000e-02 1.590534e-02
-1.528310e+00 2.500000e-02 1.426331e-02
-1.428638e+00 2.300000e-02 1.157062e-02
-1.362190e+00 2.200000e-02 9.069245e-03
-1.262517e+00 1.700000e-02 4.289439e-03
-1.162845e+00 1.400000e-02 1.635002e-03
-1.063172e+00 9.000000e-03 8.549444e-03
-9.635000e-01 1.500000e-02 1.624456e-02
-8.638276e-01 2.500000e-02 2.446471e-02
-7.641552e-01 3.300000e-02 3.291895e-02
-6.644828e-01 3.900000e-02 4.129410e-02
-5.648103e-01 4.800000e-02 4.926924e-02
-3.986897e-01 5.900000e-02 6.083045e-02
-1.661207e-01 6.700000e-02 7.131945e-02
-0.000000e+00 6.900000e-02 7.358665e-02
0.000000e+00 6.700000e-02 7.358665e-02
1.661207e-01 6.900000e-02 7.114657e-02
3.322414e-01 6.200000e-02 6.427912e-02
3.986897e-01 5.800000e-02 6.045278e-02
5.648103e-01 4.700000e-02 4.879387e-02
6.644828e-01 4.000000e-02 4.078477e-02
7.641552e-01 3.200000e-02 3.239544e-02
8.638276e-01 2.300000e-02 2.394674e-02
9.635000e-01 1.500000e-02 1.575091e-02
1.063172e+00 1.000000e-02 8.097054e-03
1.162845e+00 1.200000e-02 1.238256e-03
1.262517e+00 1.800000e-02 4.619326e-03
1.362190e+00 2.200000e-02 9.324648e-03
1.428638e+00 2.300000e-02 1.177401e-02
1.528310e+00 2.500000e-02 1.438802e-02
1.661207e+00 2.500000e-02 1.592965e-02
1.727655e+00 2.400000e-02 1.591773e-02
1.860552e+00 2.100000e-02 1.452191e-02
1.960224e+00 1.800000e-02 1.247905e-02
2.059897e+00 1.500000e-02 9.809919e-03
2.159569e+00 1.200000e-02 6.737800e-03
2.358914e+00 1.200000e-02 2.838487e-04
