#Volt   Curr    Temp    dTemp
0.00    0.00    4.200   0.000
0.50    0.08    4.200   0.000
1.00    0.18    4.197   0.2083
1.20    0.21    4.181   0.1933
1.70    0.30    4.183   0.1918
2.00    0.34    4.178   0.1897
2.30    0.40    4.181   0.1920
2.60    0.46    4.188   0.1991
2.90    0.50    4.204   0.2147
3.20    0.55    4.195   0.2065
3.50    0.60    4.186   0.1976
3.80    0.66    4.184   0.1954
4.10    0.71    4.183   0.1941
4.30    0.74    4.182   0.1935
4.60    0.79    4.195   0.2062
5.00    0.85    4.189   0.1999
5.20    0.90    4.184   0.1957
5.60    0.96    4.182   0.1934
5.90    1.01    4.180   0.1916
6.20    1.06    4.180   0.1913
6.50    1.11    4.179   0.1903
7.10    1.21    4.180   0.1915
-0.0    0.00    4.177   0.1887
-0.5    0.09    4.179   0.1903
-1.2    0.21    4.193   0.2090
-1.7    0.29    4.188   0.1993
-2.0    0.34    4.198   0.2094
-2.3    0.40    4.192   0.2035
-2.6    0.45    4.187   0.1977
-2.9    0.51    4.184   0.1951
-3.2    0.55    4.191   0.2027
-3.5    0.61    4.187   0.1982
-3.8    0.66    4.184   0.1954
-4.1    0.71    4.183   0.1949
-4.3    0.74    4.182   0.1940
-4.6    0.80    4.193   0.2046
-5.0    0.86    4.185   0.1961
-5.2    0.90    4.189   0.2003
-5.6    0.97    4.185   0.1967
-5.9    1.02    4.187   0.1989
-6.2    1.06    4.194   0.2000
-6.5    1.11    4.189   0.2004
-7.1    1.21    4.196   0.2074
